Fruit,Red,Green,Blue
orange,0.54,0.3,0.16
orange,0.558,0.288,0.154
orange,0.6,0.286,0.114
orange,0.571,0.286,0.143
orange,0.571,0.286,0.143
orange,0.615,0.269,0.115
orange,0.591,0.273,0.136
orange,0.6,0.3,0.1
orange,0.625,0.25,0.125
orange,0.625,0.25,0.125
orange,0.6,0.267,0.133
orange,0.591,0.273,0.136
orange,0.609,0.261,0.13
orange,0.615,0.269,0.115
orange,0.591,0.273,0.136
orange,0.6,0.28,0.12
orange,0.579,0.263,0.158
orange,0.636,0.273,0.091
orange,0.6,0.267,0.133
orange,0.6,0.267,0.133
orange,0.591,0.273,0.136
orange,0.591,0.273,0.136
orange,0.609,0.261,0.13
orange,0.583,0.292,0.125
orange,0.607,0.286,0.107
orange,0.6,0.28,0.12
orange,0.619,0.286,0.095
orange,0.571,0.286,0.143
orange,0.588,0.294,0.118
orange,0.611,0.278,0.111
orange,0.625,0.25,0.125
orange,0.611,0.278,0.111
orange,0.6,0.267,0.133
orange,0.6,0.267,0.133
orange,0.611,0.278,0.111
orange,0.615,0.269,0.115
orange,0.615,0.269,0.115
orange,0.6,0.267,0.133
orange,0.615,0.269,0.115
orange,0.594,0.281,0.125
orange,0.594,0.281,0.125
orange,0.594,0.281,0.125
orange,0.63,0.259,0.111
orange,0.609,0.261,0.13
orange,0.591,0.273,0.136
orange,0.615,0.231,0.154
orange,0.6,0.267,0.133
orange,0.6,0.25,0.15
orange,0.571,0.286,0.143
orange,0.609,0.261,0.13
orange,0.611,0.278,0.111
orange,0.609,0.261,0.13
orange,0.591,0.273,0.136
orange,0.615,0.269,0.115
orange,0.591,0.273,0.136
orange,0.6,0.25,0.15
orange,0.6,0.267,0.133
orange,0.611,0.278,0.111
orange,0.588,0.294,0.118
orange,0.609,0.261,0.13
orange,0.615,0.269,0.115
orange,0.594,0.281,0.125
orange,0.594,0.281,0.125
orange,0.581,0.29,0.129
orange,0.594,0.281,0.125
orange,0.583,0.292,0.125
orange,0.615,0.269,0.115
orange,0.609,0.261,0.13
orange,0.6,0.28,0.12
orange,0.586,0.276,0.138
orange,0.6,0.28,0.12
orange,0.606,0.273,0.121
orange,0.6,0.267,0.133
orange,0.595,0.27,0.135
orange,0.571,0.286,0.143
orange,0.583,0.278,0.139
orange,0.579,0.289,0.132
orange,0.571,0.286,0.143
orange,0.564,0.282,0.154
orange,0.559,0.294,0.147
orange,0.579,0.263,0.158
orange,0.571,0.286,0.143
orange,0.571,0.286,0.143
orange,0.59,0.282,0.128
orange,0.588,0.294,0.118
orange,0.591,0.273,0.136
orange,0.59,0.282,0.128
orange,0.605,0.279,0.116
orange,0.595,0.286,0.119
orange,0.583,0.292,0.125
orange,0.518,0.304,0.179
apple,0.522,0.261,0.217
apple,0.522,0.261,0.217
apple,0.55,0.25,0.2
apple,0.545,0.227,0.227
apple,0.556,0.222,0.222
apple,0.545,0.227,0.227
apple,0.524,0.238,0.238
apple,0.5,0.273,0.227
apple,0.5,0.292,0.208
apple,0.526,0.263,0.211
apple,0.545,0.227,0.227
apple,0.556,0.222,0.222
apple,0.55,0.25,0.2
apple,0.529,0.235,0.235
apple,0.579,0.211,0.211
apple,0.55,0.25,0.2
apple,0.556,0.222,0.222
apple,0.5,0.273,0.227
apple,0.524,0.286,0.19
apple,0.55,0.25,0.2
apple,0.588,0.235,0.176
apple,0.55,0.25,0.2
apple,0.556,0.222,0.222
apple,0.55,0.25,0.2
apple,0.588,0.235,0.176
apple,0.55,0.25,0.2
apple,0.562,0.25,0.187
apple,0.55,0.25,0.2
apple,0.588,0.235,0.176
apple,0.588,0.235,0.176
apple,0.579,0.211,0.211
apple,0.588,0.235,0.176
apple,0.55,0.25,0.2
apple,0.562,0.25,0.187
apple,0.55,0.25,0.2
apple,0.562,0.25,0.187
apple,0.588,0.235,0.176
apple,0.556,0.222,0.222
apple,0.562,0.25,0.187
apple,0.556,0.222,0.222
apple,0.6,0.2,0.2
apple,0.588,0.235,0.176
apple,0.562,0.25,0.187
apple,0.588,0.235,0.176
apple,0.55,0.25,0.2
apple,0.562,0.25,0.187
apple,0.588,0.235,0.176
apple,0.571,0.214,0.214
apple,0.6,0.2,0.2
apple,0.571,0.214,0.214
apple,0.6,0.2,0.2
apple,0.588,0.235,0.176
apple,0.6,0.2,0.2
apple,0.579,0.211,0.211
apple,0.6,0.2,0.2
apple,0.562,0.25,0.187
apple,0.588,0.235,0.176
apple,0.6,0.2,0.2
apple,0.562,0.25,0.187
apple,0.562,0.25,0.187
apple,0.571,0.238,0.19
apple,0.588,0.235,0.176
apple,0.571,0.238,0.19
apple,0.562,0.25,0.187
apple,0.636,0.182,0.182
apple,0.611,0.222,0.167
apple,0.571,0.214,0.214
apple,0.583,0.25,0.167
apple,0.5,0.25,0.25
apple,0.562,0.25,0.187
apple,0.5,0.269,0.231
banana,0.471,0.353,0.176
banana,0.484,0.339,0.177
banana,0.472,0.34,0.189
banana,0.463,0.352,0.185
banana,0.45,0.35,0.2
banana,0.433,0.367,0.2
banana,0.433,0.367,0.2
banana,0.452,0.355,0.194
banana,0.472,0.361,0.167
banana,0.467,0.356,0.178
banana,0.491,0.34,0.17
banana,0.489,0.34,0.17
banana,0.5,0.333,0.167
banana,0.488,0.349,0.163
banana,0.515,0.333,0.152
banana,0.515,0.333,0.152
banana,0.5,0.333,0.167
banana,0.5,0.333,0.167
banana,0.5,0.35,0.15
banana,0.474,0.368,0.158
banana,0.45,0.35,0.2
banana,0.389,0.389,0.222
banana,0.437,0.375,0.187
banana,0.437,0.375,0.187
banana,0.421,0.368,0.211
banana,0.409,0.364,0.227
banana,0.391,0.391,0.217
banana,0.387,0.387,0.226
banana,0.387,0.387,0.226
banana,0.414,0.379,0.207
banana,0.414,0.379,0.207
banana,0.393,0.393,0.214
banana,0.406,0.375,0.219
banana,0.414,0.379,0.207
banana,0.419,0.387,0.194
banana,0.423,0.385,0.192
banana,0.417,0.375,0.208
banana,0.391,0.391,0.217
banana,0.391,0.391,0.217
banana,0.391,0.391,0.217
banana,0.4,0.4,0.2
banana,0.4,0.4,0.2
banana,0.421,0.368,0.211
banana,0.429,0.381,0.19
banana,0.44,0.36,0.2
banana,0.429,0.381,0.19
banana,0.429,0.381,0.19
banana,0.45,0.35,0.2
banana,0.444,0.389,0.167
banana,0.45,0.35,0.2
banana,0.437,0.375,0.187
banana,0.471,0.353,0.176
banana,0.437,0.375,0.187
banana,0.444,0.389,0.167
banana,0.471,0.353,0.176
banana,0.45,0.35,0.2
banana,0.429,0.357,0.214
banana,0.423,0.385,0.192
banana,0.419,0.387,0.194
banana,0.406,0.375,0.219
banana,0.406,0.375,0.219
banana,0.389,0.389,0.222
banana,0.419,0.387,0.194
banana,0.394,0.394,0.212
banana,0.393,0.393,0.214
banana,0.412,0.382,0.206
banana,0.389,0.389,0.222
banana,0.41,0.385,0.205
banana,0.394,0.394,0.212
banana,0.4,0.4,0.2
banana,0.4,0.4,0.2
banana,0.4,0.4,0.2
banana,0.4,0.4,0.2
banana,0.391,0.391,0.217
banana,0.4,0.4,0.2
banana,0.375,0.417,0.208
banana,0.393,0.393,0.214
banana,0.385,0.385,0.231
banana,0.37,0.407,0.222
banana,0.37,0.407,0.222
banana,0.391,0.391,0.217
banana,0.375,0.417,0.208
banana,0.381,0.381,0.238
banana,0.4,0.4,0.2
banana,0.409,0.409,0.182
banana,0.4,0.4,0.2
banana,0.4,0.4,0.2
banana,0.4,0.4,0.2
banana,0.407,0.407,0.185
banana,0.4,0.4,0.2
banana,0.391,0.391,0.217
banana,0.375,0.406,0.219
banana,0.4,0.4,0.2
banana,0.409,0.364,0.227
